DGP function,Method,Mean Estimate,SD Estimate,Median Estimate,Mean Variance,SD Variance,Median Variance,Bias,SD Bias,Median Bias,MSE,SD MSE,Coverage,Interval Length,SD Interval Length,Interval Median,Average Time,SD Average Time
0,Sparse2_2,3.6248919860196622,0.2767088137615195,3.6383633667278357,155.3582104597417,69.35010846707739,137.99225939220105,-0.42510801398033765,0.2767088137615195,-0.4116366332721644,0.2572845911636141,0.2655481402658063,0.674,1.0882553399803914,0.323494517555416,1.0329007623291204,48.01151806640625,9.751054382722586
1,Sparse2_2,4.05324330595312,0.10622885492086678,4.051405099205283,22.73997004096363,2.2789525977350196,22.85427257367502,0.0032433059531239558,0.10622885492086671,0.001405099205282756,0.01129508865130412,0.013360621597413355,0.936,0.4179606091347181,0.02162924546376321,0.4193899241733148,83.11193363428116,18.835858590871545
2,Sparse2_2,3.9772836593372265,0.13281992612660054,3.9726780881217043,32.81050126289351,3.391488902784556,32.755392249961815,-0.07271634066277322,0.13281992612660054,-0.07732191187829551,0.022928798975660133,0.02808538507547983,0.892,0.5021510927827307,0.026899325448409728,0.501892864852419,46.058713508605955,11.267725006366941
3,Sparse2_2,-586.4104955575374,7267.583419757479,0.44785982832601495,373539478117.5508,3125714654864.104,61084209.714543894,-590.4604955575379,7267.583419757479,-3.6021401716739847,53166412.35994789,564127549.3340164,0.964,43150.07408933397,350722.09859784815,701.2302828692516,51.128211173534396,7.6780955111053
4,Sparse2_2,-50.88145227140987,1030.3638506842822,1.735806364466968,5966638978.854024,41158862873.36855,1364543.7159251922,-54.931452271409874,1030.3638506842822,-2.314193635533032,1064667.129245588,6803904.831495221,0.958,262314.1381208983,5790538.1550050955,105.05433152022468,54.71892096138001,12.228733626019398
